-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to irrigation through supplementary source . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.15.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.15.csv"
}
-----
"State","District","Block","Supplementary irrigation (Ha) - Kharif","Supplementary irrigation (Ha) - Rabi","Supplementary irrigation (Ha) - Perennial","Supplementary irrigation (Ha) - Others","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","ASIFABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BEJJUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHAINSA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHEEMINI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BOATH",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","CHENNUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","DAHEGAON",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","ICHODA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAINAD",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","JAINOOR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAIPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JANNARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KASIPET",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KHANPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOUTHALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUBEER",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUNTALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAHESRA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MAMDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MUDHOLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NARNOOR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NENNAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NIRMAL",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","REBBENA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR (T)",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TAMSI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TANDUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","TANUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TIRYANI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","UTNUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","VEMANPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","WANKDI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AGALI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMADAGUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ATMAKUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BOMMANAHAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHENNEKOTHAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHILAMATHUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","D.HIREHAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GARLADINNE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GOOTY",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GORANTLA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUMMAGATA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","HINDUPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KADIRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KALYANDRUG",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KAMBADUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANEKAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUDAIR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUNDURPI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","LEPAKSHI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MADAKASIRA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MUDIGUBBA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLACHERUVU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLAMADA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NAMBULAPULIKUNTA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NARPALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","OBULADEVARACHERUVU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PAMIDI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PARIGI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAPAPPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAVADUGUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PENUKONDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTLUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTTAPARTHI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAMAGIRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAPTADU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAYADURG",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RODDAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ROLLA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SETTUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SINGANAMALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SOMANDEPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADIMARRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADPATRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TALUPULA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","URAVAKONDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VAJRAKARUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VIDAPANAKAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YADIKI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YELLANUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","B.KOTHAKOTA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","BANGARUPALEM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","CHITTOOR",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","CHOWDE[ALLE",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","GANGADHARA NELLORE",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","GANGAVARAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","GUDIPALA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","GUDUPALLE",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","GURRAMKONDA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","IRALA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","K.V.B. PURAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","KALAKADA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","KALIKIRI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMACHANDRA PURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMBHAMVARIPALLE",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","KARVETINAGAR",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","KUPPAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","KURABALAKOTA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","MADANAPALLE",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","MULAKALACHERUVU",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","NAGALAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NAGARI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NARAYANAVANAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","NINDRA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PAKALA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PALAMANERU",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PALASAMUDRAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PEDDAPANJANI",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PEDDATHIPPASAMDRAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PENUMURU",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PICHATURU",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PILERU",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PULICHERLA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PUNGANURU",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PUTHALAPATTU",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","PUTTURU",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","RAMAKUPPAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","RAMASAMUDRAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","ROMPICHERLA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","SANTHIPURAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","SATYAVEDU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","SODAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","SOMALA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","SRIKALAHASTI",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","SRIRANGARAJAPURAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (RURAL)",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (URBAN)",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VADAMALAPETA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VARADAIAHPALEM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VAYALPAD",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","VEDURUKUPPAM",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","VENKATAGIRIKOTA",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","VIJAYAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YADAMARI",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","YERPEDU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YERRAVARIPALEM",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","ATLUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","B.KODUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","BADVEL",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","BRAHMAMGARIMATHAM",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","CHAKARAYAPET",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","CHAPAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNAMANDEM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","CHINTHAKOMMADINNE",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","CHITVEL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CUDDAPAH",2,0,0,0,2
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","GALIVEEDU",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","GOPAVARAM",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","JAMMALAMADUGU",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","KALASAPADU",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","KAMALAPURAM",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","KODUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","KONDAPURAM",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","LAKKIREDDIPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","LINGALA",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","MUDDANUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","MYLAVARAM",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","NANDALUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","OBULAVARIPALLE",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","PENAGALUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","PENDLIMARRI",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","PORUMAMILLA",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","PRODDUTUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","PULIVENDLA",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","PULLAMPETA",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","RAJAMPET",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","RAJUPALEM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","ROYACHOTI",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","S.MYDUKUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","SAMBEPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIDHOUT",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIMHADRIPURAM",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","T.SUNDUPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","THONDUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","VALLUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","VEERABALLE",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","VEERAPUNAYUNIPALLE",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","VEMPALLE",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","VEMULA",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","YERRAGUNTLA",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AINAVILLI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALAMURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALLAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMBAJIPETA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ANAPARTHY",152,152,0,0,304
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU",11,9,0,0,20
"ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GANDEPALLE",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",16,0,0,0,16
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA RURAL",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA URBAN",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KATRENIKONA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","KORUKONDA",2,0,0,0,2
"ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPALLE",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAMIDIKUDURU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MANDAPETA",118,60,10,0,188
"ANDHRA PRADESH","EAST GODAVARI","MAREDUMILLI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MUMMIDIVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","P.GANNAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDDAPURAM",275,14,240,0,529
"ANDHRA PRADESH","EAST GODAVARI","PITHAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY URBAN",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJANAGARAM",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMACHANDRAPURAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMPACHODAVARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",0,0,0,0,0
